Soil Moisture,Temperature,Nutrient Levels,Acidity (pH),Pest Activity,Oxygen Levels,Manure Requirements,Weed Presence
57,23,4,6.856715499854204,4,24,3,0
94,10,3,4.1707848202249505,9,15,0,0
95,15,3,7.895490866361612,5,17,2,1
9,38,4,6.062776432333806,3,11,0,1
39,17,5,5.621280205753774,9,13,2,1
90,30,0,4.65974635236978,0,19,4,1
64,36,3,5.983420261179628,4,11,0,1
36,24,0,5.848416550879591,9,18,5,0
49,26,1,6.541580743758175,5,25,1,0
41,16,5,5.942323436621447,4,25,3,0
7,11,4,4.614675735478371,4,25,2,0
88,29,3,6.190821904462842,10,22,5,1
87,20,0,4.3901627581814875,6,15,5,0
6,37,0,7.0908716275288635,0,21,4,1
51,30,2,6.952489048459754,10,24,5,0
28,30,0,7.269578084001614,0,20,0,0
80,17,3,4.568575756686024,10,15,1,1
17,11,4,7.241072251398018,3,22,3,1
23,32,5,6.96219101608661,1,24,1,1
62,36,0,4.562348895157189,8,25,3,1
86,32,1,6.463191114914837,0,15,1,0
98,39,3,6.055432684747741,6,22,2,1
77,12,5,6.1245750126409035,0,18,3,0
93,18,4,6.024940895842656,2,14,1,1
19,14,1,7.056486450217948,10,10,5,0
28,17,5,4.36141650651518,5,15,2,0
43,13,5,4.625250281332094,1,12,2,0
51,34,4,5.372609644490813,1,22,0,0
98,34,0,6.6959865183956495,1,19,0,0
77,33,2,5.971222958548484,5,21,2,0
7,25,5,4.4804317794352935,2,24,1,1
88,13,5,7.449092051229621,10,12,0,0
49,27,0,4.590535316768932,8,22,0,0
24,23,3,4.748410934888267,8,12,0,1
25,40,4,7.041132350462467,6,22,3,0
34,20,1,4.253825692856601,10,21,2,1
65,14,0,5.140667177568648,3,22,2,0
75,12,5,4.045608363893322,1,14,5,1
24,22,4,4.485565667873868,6,18,0,0
64,27,3,6.889795973299893,10,14,3,1
16,21,4,4.746204826798767,7,22,2,1
75,28,0,4.382098381225022,5,13,5,0
66,27,3,6.362282378281527,7,14,5,1
33,37,2,5.314074975714163,0,25,4,1
35,18,1,5.909455018855793,6,24,5,0
3,28,0,7.662649493484581,6,18,3,0
84,36,4,7.5661764930849245,3,14,2,0
79,32,0,5.683311130638955,7,24,1,1
15,30,4,6.401040216331062,7,17,2,0
43,18,2,6.432164632491762,5,11,5,1
33,27,2,6.703399401479877,4,17,4,1
64,20,0,7.2561950689334935,2,23,2,1
5,20,5,4.404370608518234,1,23,3,1
94,13,5,7.349186221813184,10,13,5,0
2,29,5,7.331579959854617,7,21,5,1
57,11,4,4.060746973283395,8,25,0,1
46,25,0,6.066218651722615,3,11,4,1
8,38,2,4.957426510645677,5,19,1,0
92,37,0,4.249181938985028,1,13,5,1
50,20,5,6.237473490816773,8,15,4,0
3,39,1,7.662265043641463,7,11,0,1
65,29,4,7.989043799412309,1,17,5,0
11,24,2,7.619124756804532,0,12,3,1
88,15,1,4.191100858812391,4,18,4,0
17,31,2,7.8283874612482,8,13,1,1
30,36,4,5.315003013687716,8,25,4,0
30,25,5,4.4303596767966305,0,22,4,1
57,29,0,7.652906505355281,0,19,2,0
73,16,1,4.582963817998571,1,20,1,1
84,21,1,7.793042735393893,6,13,0,1
85,13,2,5.6938422821657095,2,24,1,1
6,31,2,4.4393881060049765,7,17,5,1
35,17,0,6.0891841901463675,0,22,1,0
19,23,4,6.14637949654403,8,15,5,0
85,31,3,6.777938820505161,4,17,2,0
78,14,3,7.916963795266229,8,22,1,1
57,27,0,4.096213304744273,7,24,5,1
70,10,4,4.1066850370699335,5,15,5,0
31,33,5,5.418642495841227,9,16,5,0
32,36,3,7.084713627127234,5,10,4,1
16,18,4,6.951428955824815,10,25,5,0
53,26,0,7.645194813496532,6,12,1,0
27,30,3,5.6845427710541205,7,17,0,1
75,26,0,6.097622952794343,0,23,4,0
79,11,3,5.749256309559479,9,21,2,1
51,19,3,6.402994451746951,3,10,2,1
58,24,5,5.583810317385384,3,19,4,1
100,35,3,6.724568835010166,7,18,1,1
19,25,2,6.551545500001817,0,19,5,0
6,22,3,4.878492209154343,5,15,1,1
77,39,1,5.049883462920221,0,11,5,1
78,17,2,4.172312994817561,2,20,4,0
66,39,2,6.111614174074422,2,19,0,1
66,25,4,5.040572256091233,4,24,1,1
59,33,2,4.0636158761081385,10,19,3,1
17,35,5,5.5704320220568695,4,16,2,0
97,25,0,7.723870385652127,0,13,3,1
47,17,1,6.14131001036403,0,20,4,0
30,16,4,6.849489325594707,7,25,1,1
86,40,3,4.695492020975601,5,13,5,1
